Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:/2604-math-under-llm/check_qwen2.5_14b_full.py
使用设备: cuda
找到 8 个分片: ['Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00002-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00003-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00004-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00005-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00006-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00007-of-00008.safetensors', 'Qwen2.5-14B-Instruct-model-00008-of-00008.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/8] 加载 Qwen2.5-14B-Instruct-model-00001-of-00008.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4]
  将分析层: [0, 1, 2, 3, 4]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 0 | Q头  0: Pearson=+0.6280 Spearman=+1.0000 α=0.4355(残差=1.07e-01) cos(Uq,Uk)=0.0939 协方差误差=0.8475 SSR=0.014723 σ_max(Q)=3.952 σ_max(K)=3.260 cond(Q)=15.1 cond(K)=10.6
  KV头 0 | Q头  1: Pearson=+0.7538 Spearman=+1.0000 α=0.9189(残差=5.06e-01) cos(Uq,Uk)=0.1247 协方差误差=0.5625 SSR=0.024918 σ_max(Q)=3.988 σ_max(K)=3.260 cond(Q)=7.3 cond(K)=10.6
  KV头 0 | Q头  2: Pearson=+0.9737 Spearman=+1.0000 α=0.7475(残差=9.49e-03) cos(Uq,Uk)=0.0772 协方差误差=0.3761 SSR=0.003142 σ_max(Q)=2.990 σ_max(K)=3.260 cond(Q)=9.2 cond(K)=10.6
  KV头 0 | Q头  3: Pearson=+0.9903 Spearman=+1.0000 α=0.9069(残差=4.79e-03) cos(Uq,Uk)=0.0760 协方差误差=0.3329 SSR=0.002451 σ_max(Q)=2.862 σ_max(K)=3.260 cond(Q)=9.0 cond(K)=10.6
  KV头 0 | Q头  4: Pearson=+0.5046 Spearman=+1.0000 α=0.4811(残差=3.16e-01) cos(Uq,Uk)=0.0967 协方差误差=0.9510 SSR=0.023511 σ_max(Q)=6.807 σ_max(K)=3.260 cond(Q)=17.6 cond(K)=10.6
  KV头 1 | Q头  5: Pearson=+0.9652 Spearman=+1.0000 α=0.8437(残差=2.31e-03) cos(Uq,Uk)=0.0882 协方差误差=0.2520 SSR=0.001735 σ_max(Q)=2.787 σ_max(K)=3.091 cond(Q)=2.7 cond(K)=3.0
  KV头 1 | Q头  6: Pearson=+0.6626 Spearman=+1.0000 α=0.5558(残差=3.31e-01) cos(Uq,Uk)=0.0877 协方差误差=0.8849 SSR=0.030611 σ_max(Q)=5.527 σ_max(K)=3.091 cond(Q)=10.4 cond(K)=3.0
  KV头 1 | Q头  7: Pearson=+0.9833 Spearman=+1.0000 α=0.8579(残差=2.09e-03) cos(Uq,Uk)=0.0949 协方差误差=0.2511 SSR=0.001582 σ_max(Q)=2.784 σ_max(K)=3.091 cond(Q)=3.1 cond(K)=3.0
  KV头 1 | Q头  8: Pearson=+0.6264 Spearman=+1.0000 α=0.5298(残差=2.37e-01) cos(Uq,Uk)=0.0815 协方差误差=0.8079 SSR=0.028306 σ_max(Q)=3.659 σ_max(K)=3.091 cond(Q)=7.0 cond(K)=3.0
  KV头 1 | Q头  9: Pearson=+0.9810 Spearman=+1.0000 α=0.8535(残差=1.95e-03) cos(Uq,Uk)=0.0849 协方差误差=0.2503 SSR=0.001620 σ_max(Q)=2.791 σ_max(K)=3.091 cond(Q)=3.0 cond(K)=3.0
  KV头 2 | Q头 10: Pearson=+0.9352 Spearman=+1.0000 α=0.7797(残差=6.01e-02) cos(Uq,Uk)=0.0846 协方差误差=0.8651 SSR=0.012452 σ_max(Q)=4.556 σ_max(K)=3.520 cond(Q)=21.6 cond(K)=29.4
  KV头 2 | Q头 11: Pearson=+0.9876 Spearman=+1.0000 α=0.9472(残差=1.43e-02) cos(Uq,Uk)=0.1460 协方差误差=0.6194 SSR=0.004423 σ_max(Q)=4.051 σ_max(K)=3.520 cond(Q)=23.3 cond(K)=29.4
  KV头 2 | Q头 12: Pearson=+0.9262 Spearman=+1.0000 α=0.8751(残差=1.02e-01) cos(Uq,Uk)=0.1113 协方差误差=0.8497 SSR=0.012378 σ_max(Q)=6.048 σ_max(K)=3.520 cond(Q)=28.3 cond(K)=29.4
  KV头 2 | Q头 13: Pearson=+0.9254 Spearman=+1.0000 α=0.7830(残差=7.22e-02) cos(Uq,Uk)=0.1195 协方差误差=0.8297 SSR=0.009704 σ_max(Q)=5.510 σ_max(K)=3.520 cond(Q)=28.9 cond(K)=29.4
  KV头 2 | Q头 14: Pearson=+0.9679 Spearman=+1.0000 α=0.5644(残差=1.50e-02) cos(Uq,Uk)=0.1333 协方差误差=0.8010 SSR=0.006428 σ_max(Q)=3.150 σ_max(K)=3.520 cond(Q)=28.2 cond(K)=29.4
  KV头 3 | Q头 15: Pearson=+0.9917 Spearman=+1.0000 α=0.8609(残差=1.97e-03) cos(Uq,Uk)=0.1110 协方差误差=0.3216 SSR=0.001454 σ_max(Q)=3.104 σ_max(K)=3.427 cond(Q)=6.6 cond(K)=7.2
  KV头 3 | Q头 16: Pearson=+0.6776 Spearman=+1.0000 α=0.6985(残差=4.31e-01) cos(Uq,Uk)=0.1108 协方差误差=0.7710 SSR=0.030194 σ_max(Q)=4.959 σ_max(K)=3.427 cond(Q)=9.9 cond(K)=7.2
  KV头 3 | Q头 17: Pearson=+0.6720 Spearman=+1.0000 α=0.5128(残差=2.37e-01) cos(Uq,Uk)=0.1206 协方差误差=0.8929 SSR=0.024325 σ_max(Q)=5.436 σ_max(K)=3.427 cond(Q)=17.5 cond(K)=7.2
  KV头 3 | Q头 18: Pearson=+0.9917 Spearman=+1.0000 α=0.8673(残差=2.08e-03) cos(Uq,Uk)=0.1068 协方差误差=0.3177 SSR=0.001649 σ_max(Q)=3.090 σ_max(K)=3.427 cond(Q)=6.8 cond(K)=7.2
  KV头 3 | Q头 19: Pearson=+0.6812 Spearman=+1.0000 α=0.7113(残差=4.63e-01) cos(Uq,Uk)=0.1162 协方差误差=0.7444 SSR=0.031653 σ_max(Q)=4.629 σ_max(K)=3.427 cond(Q)=12.0 cond(K)=7.2
  KV头 4 | Q头 20: Pearson=+0.9825 Spearman=+1.0000 α=0.8292(残差=3.08e-03) cos(Uq,Uk)=0.1019 协方差误差=0.2385 SSR=0.001946 σ_max(Q)=2.706 σ_max(K)=2.942 cond(Q)=5.5 cond(K)=5.1
  KV头 4 | Q头 21: Pearson=+0.4886 Spearman=+1.0000 α=0.3857(残差=5.58e-02) cos(Uq,Uk)=0.0773 协方差误差=0.7223 SSR=0.015273 σ_max(Q)=2.452 σ_max(K)=2.942 cond(Q)=5.2 cond(K)=5.1
  KV头 4 | Q头 22: Pearson=+0.5070 Spearman=+1.0000 α=0.4515(残差=8.49e-02) cos(Uq,Uk)=0.1065 协方差误差=0.8008 SSR=0.014083 σ_max(Q)=3.500 σ_max(K)=2.942 cond(Q)=7.6 cond(K)=5.1
  KV头 4 | Q头 23: Pearson=+0.9819 Spearman=+1.0000 α=0.8589(残差=3.37e-03) cos(Uq,Uk)=0.0916 协方差误差=0.2370 SSR=0.001927 σ_max(Q)=2.761 σ_max(K)=2.942 cond(Q)=5.4 cond(K)=5.1
  KV头 4 | Q头 24: Pearson=+0.9820 Spearman=+1.0000 α=0.8425(残差=3.23e-03) cos(Uq,Uk)=0.0925 协方差误差=0.2379 SSR=0.001901 σ_max(Q)=2.728 σ_max(K)=2.942 cond(Q)=5.2 cond(K)=5.1
  KV头 5 | Q头 25: Pearson=+0.9666 Spearman=+1.0000 α=0.8481(残差=4.33e-02) cos(Uq,Uk)=0.1017 协方差误差=0.8982 SSR=0.009999 σ_max(Q)=5.157 σ_max(K)=4.366 cond(Q)=23.0 cond(K)=18.1
