Python 3.12.0 (tags/v3.12.0:0fb18b0, Oct  2 2023, 13:03:39) [MSC v.1935 64 bit (AMD64)] on win32
Type "help", "copyright", "credits" or "license()" for more information.

= RESTART: D:\2604-math-under-llm\check_r1_full.py
使用设备: cuda
找到 4 个分片: ['DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00002-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00003-of-000004.safetensors', 'DeepSeek-R1-Distill-Qwen-14B-model-00004-of-000004.safetensors']

开始分析 DeepSeek-R1-Distill-Qwen-14B，共 48 层

[分片 1/4] 加载 DeepSeek-R1-Distill-Qwen-14B-model-00001-of-000004.safetensors ...
  该分片包含的层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
  将分析层: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]

========== Layer 0 ==========
  wq shape: torch.Size([5120, 5120]), wk shape: torch.Size([1024, 5120])
  KV头 0 | Q头  0: Pearson=+0.6391 Spearman=+1.0000 α=0.4444(残差=1.03e-01) cos(Uq,Uk)=0.0946 协方差误差=0.8383 SSR=0.014330 σ_max(Q)=3.887 σ_max(K)=3.235 cond(Q)=15.0 cond(K)=10.6
  KV头 0 | Q头  1: Pearson=+0.7563 Spearman=+1.0000 α=0.9185(残差=4.90e-01) cos(Uq,Uk)=0.1386 协方差误差=0.5621 SSR=0.024848 σ_max(Q)=3.932 σ_max(K)=3.235 cond(Q)=7.2 cond(K)=10.6
  KV头 0 | Q头  2: Pearson=+0.9753 Spearman=+1.0000 α=0.7483(残差=8.69e-03) cos(Uq,Uk)=0.0764 协方差误差=0.3742 SSR=0.003021 σ_max(Q)=2.942 σ_max(K)=3.235 cond(Q)=8.9 cond(K)=10.6
  KV头 0 | Q头  3: Pearson=+0.9911 Spearman=+1.0000 α=0.9067(残差=4.24e-03) cos(Uq,Uk)=0.0759 协方差误差=0.3324 SSR=0.002335 σ_max(Q)=2.837 σ_max(K)=3.235 cond(Q)=8.8 cond(K)=10.6
  KV头 0 | Q头  4: Pearson=+0.5103 Spearman=+1.0000 α=0.4836(残差=3.05e-01) cos(Uq,Uk)=0.0950 协方差误差=0.9492 SSR=0.023261 σ_max(Q)=6.724 σ_max(K)=3.235 cond(Q)=17.5 cond(K)=10.6
  KV头 1 | Q头  5: Pearson=+0.9732 Spearman=+1.0000 α=0.8438(残差=1.76e-03) cos(Uq,Uk)=0.0941 协方差误差=0.2506 SSR=0.001575 σ_max(Q)=2.730 σ_max(K)=3.075 cond(Q)=2.7 cond(K)=2.7
  KV头 1 | Q头  6: Pearson=+0.6938 Spearman=+1.0000 α=0.5586(残差=3.22e-01) cos(Uq,Uk)=0.0820 协方差误差=0.8829 SSR=0.030409 σ_max(Q)=5.495 σ_max(K)=3.075 cond(Q)=10.3 cond(K)=2.7
  KV头 1 | Q头  7: Pearson=+0.9864 Spearman=+1.0000 α=0.8583(残差=1.92e-03) cos(Uq,Uk)=0.1000 协方差误差=0.2528 SSR=0.001545 σ_max(Q)=2.758 σ_max(K)=3.075 cond(Q)=3.1 cond(K)=2.7
  KV头 1 | Q头  8: Pearson=+0.6580 Spearman=+1.0000 α=0.5327(残差=2.30e-01) cos(Uq,Uk)=0.0862 协方差误差=0.8057 SSR=0.028111 σ_max(Q)=3.651 σ_max(K)=3.075 cond(Q)=6.9 cond(K)=2.7
  KV头 1 | Q头  9: Pearson=+0.9862 Spearman=+1.0000 α=0.8537(残差=1.68e-03) cos(Uq,Uk)=0.0882 协方差误差=0.2506 SSR=0.001520 σ_max(Q)=2.756 σ_max(K)=3.075 cond(Q)=3.0 cond(K)=2.7
  KV头 2 | Q头 10: Pearson=+0.9366 Spearman=+1.0000 α=0.7813(残差=5.73e-02) cos(Uq,Uk)=0.0958 协方差误差=0.8614 SSR=0.012288 σ_max(Q)=4.491 σ_max(K)=3.490 cond(Q)=21.4 cond(K)=29.6
